year,capacity(kW),Cost ($),Cost with incentive ($),$/kW NI,$/kW I
2010,1110,5651130,903630,5091.108108,814.0810811
2007,400,4004512.082,2964429.862,10011.28021,7411.074656
2009,500,4405901.896,3269223.496,8811.803792,6538.446992
2009,400,4357368.4,2333368.4,10893.421,5833.421
2009,200,2385664.512,1373664.512,11928.32256,6868.32256
2009,100,1012000,708400,10120,7084
2009,400,5267214.084,3243214.084,13168.03521,8108.03521
2009,400,5267214.084,3243214.084,13168.03521,8108.03521
2009,400,5267214.084,3749214.084,13168.03521,9373.03521
2010,500,5650400,3150400,11300.8,6300.8
2010,420,4475980,2475980,10657.09524,5895.190476
2010,300,3353906,1853906,11179.68667,6179.686667
2010,400,4439031,2439031,11097.5775,6097.5775
2010,600,6743530,3743530,11239.21667,6239.216667
2010,300,3378539,1878539,11261.79667,6261.796667
2010,300,3353906,1853906,11179.68667,6179.686667
2010,300,3347255,1847255,11157.51667,6157.516667
2010,300,3366223,1866223,11220.74333,6220.743333
2010,500,5412500,2912500,10825,5825
2010,800,8943750,4943750,11179.6875,6179.6875
2010,400,4397976,2397976,10994.94,5994.94
2010,600,6596964,3596964,10994.94,5994.94
2010,300,5462760,3962760,18209.2,13209.2
2010,600,6763758,4963758,11272.93,8272.93
2010,500,5203430,2703430,10406.86,5406.86
2010,200,2227727,1227727,11138.635,6138.635
2010,200,2227727,1227727,11138.635,6138.635
2010,500,5606476,3106476,11212.952,6212.952
2010,360,4069027,2269027,11302.85278,6302.852778
2010,300,3353906,1853906,11179.68667,6179.686667
2010,300,3366223,1866223,11220.74333,6220.743333
2010,210,1989998,939998,9476.180952,4476.180952
2010,210,1979734,929734,9427.304762,4427.304762
2010,210,2826846,2196846,13461.17143,10461.17143
2010,1050,10880903,7805903,10362.76476,7434.193333
2010,630,5599460,3709460,8888.031746,5888.031746
2010,105,1136789,821789,10826.5619,7826.561905
2010,210,2110849,1480849,10051.6619,7051.661905
2010,420,5591950,3491950,13314.16667,8314.166667
2010,420,4213701,2953701,10032.62143,7032.621429
2010,105,1053424,738424,10032.60952,7032.609524
2010,210,750000,120000,3571.428571,571.4285714
2010,400,6072163,4072163,15180.4075,10180.4075
2010,420,4931757,2831757,11742.27857,6742.278571
2010,630,6318081,4428081,10028.7,7028.7
2010,1050,11220743,8145743,10686.4219,7757.850476
2010,420,4471875,3211875,10647.32143,7647.321429
2010,630,6707813,4817813,10647.32222,7647.322222
2010,1050,11179688,8104688,10647.3219,7718.750476
2010,1050,11179688,8104688,10647.3219,7718.750476
2010,630,6141146,4251146,9747.850794,6747.850794
2010,420,4094097,2834097,9747.85,6747.85
2011,500,5098718.552,2649541.398,10197.4371,5299.082796
2011,1050,13915402.64,11203869.63,13252.76442,10670.35203
2011,420,5085972.054,3975025.297,12109.45727,9464.345946
2011,1050,12870344.63,10158811.62,12257.47108,9675.058686
2011,420,3267912.585,2222799.71,7780.744249,5292.380261
2011,525,6365392.809,4976709.363,12124.55773,9479.446406
2011,525,6365392.809,4976709.363,12124.55773,9479.446406
2011,1050,12005478.46,9294239.349,11433.78901,8851.656523
2011,420,4840495.926,3729549.169,11524.9903,8879.878975
2011,630,7616326.695,5949906.56,12089.40745,9444.296126
2011,315,4794047.772,3960837.704,15219.19927,12574.08795
2011,210,2551241.224,1995767.845,12148.76773,9503.656405
2011,420,5618624,4507677.243,13377.67619,10732.56486
2011,840,10271494.34,8049600.829,12227.96946,9582.858129
2011,420,5542280.209,4431333.452,13195.90526,10550.79393
2011,1050,12748861.53,10037622.42,12141.77288,9559.640396
2012,393.5,4588950.555,3566897.894,11661.88197,9064.543567
2012,1050,12440165.84,9777605.384,11847.77699,9312.005128
2012,210,2538063.293,1992622.228,12086.01568,9488.677277
2012,420,5205520.213,4114638.084,12394.09575,9796.757342
2013,630,7698509.732,6300413.237,12219.85672,10000.65593
2013,1050,11573557.32,9205078.969,11022.43554,8766.741875
2013,1050,11714998.31,9346519.959,11157.14125,8901.44758
2013,525,6236743.546,5023766.227,11879.51152,9569.078527
2013,525,6240617.031,5027639.711,11886.88958,9576.456593
2013,1050,10587511.75,8219033.402,10083.34453,7827.650859
2013,525,6358939.464,5145962.144,12112.26565,9801.832656
2013,315,4065486.639,3337700.247,12906.30679,10595.8738
2013,315,4193294.557,2927734.969,13312.04621,9294.396727
2013,315,4229489.443,2963929.856,13426.95061,9409.301129
2013,420,4984678.557,4014296.701,11868.28228,9557.849288
2013,1050,13393858.89,11025380.54,12756.05608,10500.36242
2013,1050,13393858.89,11025380.54,12756.05608,10500.36242
2014,525,7467427.568,6391103.952,14223.67156,12173.53134
2014,525,6559404.967,5483081.351,12494.1047,10443.96448
2014,1050,13085527.83,10983854.03,12462.40746,10460.81336
2014,525,6635981.812,5559658.196,12639.96536,10589.82513
2014,4200,41880555.72,37212659.04,9971.560886,8860.156914
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2897596.863,2467067.417,13798.0803,11747.94008
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,315,3808387.528,3162593.358,12090.11914,10039.97891
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,525,6105026.303,5028702.686,11628.62153,9578.481307
2009,300,2909922.004,1999122.004,9699.740013,6663.740013
2010,300,2700000,1200000,9000,4000
2010,210,2244149,1194149,10686.42381,5686.42381
2010,300,2700000,1200000,9000,4000
2010,420,4521141,2421141,10764.62143,5764.621429
2010,400,2700000,700000,6750,1750
2010,400,2700000,700000,6750,1750
2010,1050,11138633,6013633,10608.2219,5727.269524
2010,500,4100660,2600660,8201.32,5201.32
2010,600,6683180,3683180,11138.63333,6138.633333
2010,1050,11220743,6095743,10686.4219,5805.469524
2010,630,6732446,3582446,10686.42222,5686.422222
2010,315,3954256,2379256,12553.19365,7553.193651
2010,840,8910906,4710906,10608.22143,5608.221429
2010,525,5569316,3994316,10608.22095,7608.220952
2010,315,3341590,2396590,10608.22222,7608.222222
2010,315,3341590,2396590,10608.22222,7608.222222
2010,840,8927328,6407328,10627.77143,7627.771429
2010,420,3327920,2067920,7923.619048,4923.619048
2011,1050,14360135.01,11648602,13676.31906,11093.90666
2011,1050,12359584.41,9648051.4,11771.03277,9188.620381
2011,1050,14320409.36,11608876.34,13638.4851,11056.07271
2012,630,6726820.757,5090497.563,10677.49326,8080.154861
2012,210,2373575.776,1828134.711,11302.74179,8705.403386
2012,315,3363410.859,2545249.262,10677.49479,8080.156388
2012,525,5605683.483,4242080.821,10677.49235,8080.153945
2012,210,2258126.008,1712684.943,10752.98099,8155.642586
2012,630,6703129.183,5066805.989,10639.88759,8042.549188
2012,210,2802618.563,2257177.498,13345.80268,10748.46428
2012,210,2226420.202,1680979.137,10602.00096,8004.662557
2012,210,2242273.586,1696832.521,10677.49326,8080.154861
2012,210,2242273.586,1696832.521,10677.49326,8080.154861
2012,210,2242273.586,1696832.521,10677.49326,8080.154861
2012,210,2226420.202,1680979.137,10602.00096,8004.662557
2012,210,2226420.202,1680979.137,10602.00096,8004.662557
2012,210,2218493.51,1673052.445,10564.25481,7966.916404
2012,210,2226420.202,1680979.137,10602.00096,8004.662557
2012,210,2226420.202,1680979.137,10602.00096,8004.662557
2012,210,2226420.202,1680979.137,10602.00096,8004.662557
2012,210,2226420.202,1680979.137,10602.00096,8004.662557
2012,210,2258126.97,1712685.905,10752.98557,8155.647166
2012,630,7657166.209,6020843.015,12154.23208,9556.893675
2013,420,5118189.526,4147807.67,12186.16554,9875.732548
2013,525,7122696.907,5909719.588,13567.04173,11256.60874
2013,472.5,6547712.082,5456032.495,13857.59171,11547.15872
2013,315,4217322.68,2951763.093,13388.32597,9370.676485
2013,210,2347281.361,1503574.969,11177.53029,7159.880805
2013,1050,13913327.88,11544849.53,13250.78845,10995.09479
2013,262.5,3689513.938,3083025.278,14055.29119,11744.8582
2013,262.5,3436482.639,2829993.979,13091.36243,10780.92945
2013,393.75,4982793.031,4073060.041,12654.71246,10344.27947
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,210,2190177.122,1759647.675,10429.41487,8379.274644
2014,262.5,4854178.432,4316016.624,18492.10831,16441.96809
2014,315,3485910.554,2840116.384,11066.38271,9016.242488
2014,315,3485910.554,2840116.384,11066.38271,9016.242488
2014,262.5,2914686.967,2376525.159,11103.5694,9053.429176
2014,210,2323940.369,1893410.923,11066.38271,9016.242488
2014,210,2331749.76,1901220.314,11103.57029,9053.430065
2014,210,2355177.934,1924648.487,11215.13302,9164.992796
2014,210,2323940.369,1893410.923,11066.38271,9016.242488
2014,525,1966911.624,890588.0074,3746.498331,1696.358109
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2014,210,1966911.624,1536382.177,9366.245827,7316.105605
2010,100,1130285,630285,11302.85,6302.85
2010,900,10172567,5672567,11302.85222,6302.852222
2010,1000,9111573,4111573,9111.573,4111.573
2010,500,5782335,4282335,11564.67,8564.67
2010,420,4899383,2799383,11665.19762,6665.197619
2010,420,4899383,2799383,11665.19762,6665.197619
2010,420,4917865,2817865,11709.20238,6709.202381
2010,420,4899383,2799383,11665.19762,6665.197619
2010,420,3600000,2340000,8571.428571,5571.428571
2010,735,4410000,2520000,6000,3428.571429
2011,262.5,3566739.628,2872397.905,13587.57954,10942.46821
2011,210,2551241.224,1995767.845,12148.76773,9503.656405
2012,1050,11211367.93,8549096.065,10677.49326,8141.996252
2012,630,6726144.487,5089821.293,10676.41982,8079.081417
2012,420,4340941.293,3250059.163,10335.57451,7738.236104
2012,525,5605946.103,4242343.441,10677.99258,8080.654173
2012,525,6649186.312,5285583.65,12665.11678,10067.77838
2012,315,3363410.859,2545249.262,10677.49479,8080.156388
2012,630,6679261.567,5042938.373,10602.00249,8004.664084
2012,315,3878692.015,3060530.418,12313.30798,9715.969582
2012,1050,12336395.44,9673834.981,11748.94804,9213.176172
2012,1050,13298372.62,10635812.17,12665.11678,10129.34492
2012,787.5,9522473.643,7477069.65,12092.03002,9494.691619
2013,1050,11746598.89,9378120.536,11187.23703,8931.543368
2013,1050,12392840.08,10024361.73,11802.70484,9547.011173
2013,787.5,8733167.34,6913701.361,11089.73631,8779.303315
2013,315,3793814.433,3066028.041,12043.85534,9733.422353
2013,525,6518272.082,5305294.763,12415.75635,10105.32336
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2897596.863,2467067.417,13798.0803,11747.94008
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,525,6152525.886,5076202.269,11719.09692,9668.956704
2014,1050,12138593.64,10036919.84,11560.56537,9558.971277
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,420,5217962.557,4356903.664,12423.72037,10373.58015
2014,315,3509338.727,2863544.557,11140.75786,9090.617642
2010,210,2227727,1177727,10608.22381,5608.22381
2010,300,3341590,1841590,11138.63333,6138.633333
2010,210,2227727,1177727,10608.22381,5608.22381
2010,400,3486506,1486506,8716.265,3716.265
2010,600,5182963,2182963,8638.271667,3638.271667
2010,315,3341590,2396590,10608.22222,7608.222222
2010,1050,11138643,8063643,10608.23143,7679.66
2011,1050,11983736.62,9272203.613,11413.0825,8830.670107
2012,210,2226420.202,1680979.137,10602.00096,8004.662557
2012,525,6352612.593,4989009.932,12100.21446,9502.87606
2012,525,6170812.373,3797133.665,11753.92833,7232.635553
2013,315,4367424,3639637.608,13864.8381,11554.40511
2013,1050,12407796.25,10039317.9,11816.94881,9561.25514
2013,210,2519851.546,2034660.619,11999.29308,9688.860088
2013,210,2519851.546,2034660.619,11999.29308,9688.860088
2013,210,2519851.546,2034660.619,11999.29308,9688.860088
2013,210,2519851.546,2034660.619,11999.29308,9688.860088
2013,210,2519851.546,2034660.619,11999.29308,9688.860088
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,210,2318077.491,1887548.044,11038.46424,8988.32402
2014,1050,11837638.47,9735964.672,11273.9414,9272.347306
2014,262.5,2914686.967,2376525.159,11103.5694,9053.429176
2008,5,49924.65323,37172.6371,9984.930645,7434.527419
2009,5,49751.944,37101.944,9950.3888,7420.3888
2009,5,50024.172,37374.172,10004.8344,7474.8344
2009,5,50019.112,37369.112,10003.8224,7473.8224
2009,5,55702.504,43052.504,11140.5008,8610.5008
2009,5,45540,32890,9108,6578
2009,5,52282.956,39632.956,10456.5912,7926.5912
2009,5,50094,37444,10018.8,7488.8
2009,5,49939.164,37289.164,9987.8328,7457.8328
2009,5,49933.092,37283.092,9986.6184,7456.6184
2009,5,55790.548,43140.548,11158.1096,8628.1096
2009,5,50094,37444,10018.8,7488.8
2010,5,45000,32500,9000,6500
2010,5,51478,38978,10295.6,7795.6
2010,5,55055,42555,11011,8511
2010,10,109528,84528,10952.8,8452.8
2010,5,49467,36967,9893.4,7393.4
2010,5,55718,43218,11143.6,8643.6
2010,5,60634,48134,12126.8,9626.8
2010,10,109469,84469,10946.9,8446.9
2010,5,64010,51510,12802,10302
2010,5,54500,42000,10900,8400
2010,5,54876,42376,10975.2,8475.2
2010,5,49341,36841,9868.2,7368.2
2010,15,147643,110143,9842.866667,7342.866667
2010,5,61614,49114,12322.8,9822.8
2010,5,61400,48900,12280,9780
2010,5,61180,48680,12236,9736
2010,5,51583,39083,10316.6,7816.6
2010,10,89706,64706,8970.6,6470.6
2010,5,61356,48856,12271.2,9771.2
2010,5,55108,42608,11021.6,8521.6
2010,10,122278,97278,12227.8,9727.8
2010,5,61364,48864,12272.8,9772.8
2010,5,51065,38565,10213,7713
2010,5,61352,48852,12270.4,9770.4
2010,10,101138,76138,10113.8,7613.8
2010,10,101138,76138,10113.8,7613.8
2010,5,60247,47747,12049.4,9549.4
2010,5,49163,36663,9832.6,7332.6
2010,20,188000,138000,9400,6900
2010,5,57903,45403,11580.6,9080.6
2010,10,122429,97429,12242.9,9742.9
2010,5,61088,48588,12217.6,9717.6
2012,25,354944.5703,300833.3536,14197.78281,12033.33414
2012,25,379244.1141,325132.8973,15169.76456,13005.31589
2013,1200,10865484.54,8746639.175,9054.570447,7288.865979
2013,800,8153022.928,6612734.268,10191.27866,8265.917835
2010,5,54562,42062,10912.4,8412.4
2010,5,56000,43500,11200,8700
2013,800,5690721.649,4150432.99,7113.402062,5188.041237
2008,10,99848.28629,74344.25403,9984.828629,7434.425403
2008,5,49465.58065,36713.56452,9893.116129,7342.712903
2008,5,49924.65323,37172.6371,9984.930645,7434.527419
2008,5,50305.17339,37553.15726,10061.03468,7510.631452
2010,5,54517,42017,10903.4,8403.4
2010,20,198118,148118,9905.9,7405.9
2010,5,35000,22500,7000,4500
2010,5,55108,42608,11021.6,8521.6
2010,5,61610,49110,12322,9822
2010,5,56000,43500,11200,8700
2010,5,49245,36745,9849,7349
2010,5,68705,56205,13741,11241
2010,5,62838,50338,12567.6,10067.6
2010,5,43935,31435,8787,6287
2010,5,54267,41767,10853.4,8353.4
2011,5,47024.20136,34778.31559,9404.840271,6955.663117
2010,5,69689,57189,13937.8,11437.8
2010,40,372000,272000,9300,6800
2010,5,58035,45535,11607,9107
2010,15,139500,102000,9300,6800
2012,800,7022433.46,5290874.525,8778.041825,6613.593156
2013,80,1209065.897,1055037.031,15113.32371,13187.96289
2004,1000,8120464.049,5326598.963,8120.464049,5326.598963
2004,250,4080382.864,3370506.321,16321.53146,13482.02528
2005,1000,6700689.6,5168939.6,6700.6896,5168.9396
2005,500,2781878,1406878,5563.756,2813.756
2006,600,3923198.409,1040919.928,6538.664015,1734.866547
2006,750,8642187.502,6680636.869,11522.91667,8907.515826
2007,600,3432559.429,1872436.099,5720.932381,3120.726831
2009,1400,10521654.7,7485654.704,7515.467646,5346.896217
2010,1400,9244473,3844473,6603.195,2746.052143
2003,250,2746238.837,1433090.048,10984.95535,5732.360194
2003,500,5748959.562,3122661.984,11497.91912,6245.323968
2006,900,5532421.456,1209003.734,6147.134951,1343.337482
2009,300,1829746.6,918946.6,6099.155333,3063.155333
2009,600,8440584.988,5708184.988,14067.64165,9513.641647
2010,500,5492478,3242478,10984.956,6484.956
2010,250,2746239,2121239,10984.956,8484.956
2010,250,2746239,2246239,10984.956,8984.956
2014,1400,7468634.686,5416627.306,5334.739062,3869.019504
2005,500,3706532.5,2331532.5,7413.065,4663.065
2005,1000,5785903.2,3310903.2,5785.9032,3310.9032
2006,900,9310560.127,4987142.405,10345.06681,5541.269339
2006,1200,4961575.527,157778.0591,4134.646273,131.4817159
2008,600,5805125.806,3050690.323,9675.209677,5084.483871
2010,2800,16221054,7721054,5793.233571,2757.519286
2014,1400,8775645.756,6723638.376,6268.318397,4802.59884
2014,1400,8775645.756,4908760.148,6268.318397,3506.257248
2004,1000,7077062.712,4246237.625,7077.062712,4246.237625
2005,500,3320046.4,1945046.4,6640.0928,3890.0928
2006,500,5088204.696,3753816.511,10176.40939,7507.633021
2006,250,2647234.008,1980039.916,10588.93603,7920.159662
2009,1400,18495054.95,12473654.95,13210.75354,8909.753537
2009,300,2064000.312,697800.312,6880.00104,2326.00104
2009,2800,17951730.37,9349730.368,6411.332274,3339.189417
2002,600,5070748.631,3284866.278,8451.247718,5474.777129
2007,200,1217062.61,697021.5005,6085.313052,3485.107503
2009,400,3377487.256,2365487.256,8443.71814,5913.71814
2010,400,2968194,1968194,7420.485,4920.485
2010,400,3131505,2131505,7828.7625,5328.7625
2005,200,1815958.1,1265958.1,9079.7905,6329.7905
2010,800,4860000,1260000,6075,1575
2010,800,11175690,9175690,13969.6125,11469.6125
2011,400,3859524.062,2977820.287,9648.810155,7444.550716
2012,400,3357381.186,2491601.719,8393.452966,6229.004297
2010,1200,9010250,6260250,7508.541667,5216.875
2010,1200,7816000,5066000,6513.333333,4221.666667
2011,400,3866770.687,2985066.912,9666.926718,7462.66728
2010,400,2828428,1028428,7071.07,2571.07
2010,400,2829801,1029801,7074.5025,2574.5025
2010,400,2873577,1873577,7183.9425,4683.9425
